doi,author,title,year,abstract,journal
10.1007/BF00627705,Ewan Klein,Preface,1984,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00627709,Ivan A. Sag; Jorge Hankamer,Toward a theory of anaphoric processing,1984,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00627707,Barbara H. Partee,Nominal and temporal anaphora,1984,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00149013,Joyce Friedman; David S. Warren,A parsing method for montague grammars,1978,The main result in this paper is a method for obtaining derivation trees from sentences of certain formal grammars. No parsing algorithm was previously known to exist for these grammars. Applied to Montague's PTQ the method produces all parses that could correspond to different meanings. The technique directly addresses scope and reference and provides a framework for examining these phenomena. The solution for PTQ is implemented in an efficient and useful computer program.,LINGUISTICS AND PHILOSOPHY
10.1007/BF00149015,Alexander P. D. Mourelatos,"Events, processes, and states",1978,"The familiar Vendler-Kenny scheme of verb-types, viz., performances (further differentiated by Vedler into accomplishments and achievements), activities, and states, is too narrow in two important respects. First, it is narrow linguistically. It fails to take into account the phenomenon of verb aspect. The trichotomy is not one of verbs as lexical types but of predications. Second, the trichotomy is narrow ontologically. It is a specification in the context of human agency of the more fundamental, topic-neutral trichotomy, event-process-state. The central component in this ontological trichotomy, event, can be sharply differentiated from its two flanking components by adapting a suggestion by Geoffrey N. Leech and others that the contrast between perfective and imperfective aspect in verbs corresponds to the count/mass distinction in the domain of nouns. With the help of two distinctions, of “cardinal count” adverbials versus frequency adverbials, and of occurrence versus associated occasion, two interrelated criteria for event predication are developed. Accordingly, “Mary capsized the boat” is an event predication because (a) it is equivalent to “There was at least one capsizing of the boat by Mary,” or (b) because it admits cardinal count adverbials, e.g., “at least once,” “twice,” “three times.” Ontologically speaking, events are defined as those occurrences that are inherently countable.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00149017,M. J. Cresswell; John C. Bigelow,Review,1978,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00149018,,Publications received,1978,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00149012,Steven E. Boër,‘Who’ and ‘whether’: Towards a theory of indirect question clauses,1978,"This paper shows in detail how the formal semiotic of M. J. Cresswell [6] may be extended to provide an account of indirect question clauses in English. The resulting account is compared at various points with the theory recently propounded by Karttunen [12] and is argued to have two major advantages over the latter in that (i) it accommodates the manifest teleological relativity of ‘who’-clauses, and (ii) it avoids the need for categorial segregation of sentence-taking verbs from wh-clause-taking verbs while offering a uniform explanation of various apparent semantic differences between them.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00149019,,Announcement,1978,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00149014,Jerold A. Edmondson; Frans Plank,Great expectations: An intensive self analysis,1978,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00149016,Benoît De Cornulier,Paradoxical self-reference,1978,,LINGUISTICS AND PHILOSOPHY
10.1023/A:1020875809794,Yael Sharvit; Penka Stateva,"Superlative Expressions, Context, and Focus",2002,,LINGUISTICS AND PHILOSOPHY
10.1023/A:1020895422437,Eli Dresner,"Holism, Language Acquisition, and Algebraic Logic",2002,"In the first section of this paper I present a well known objection to meaning holism, according to which holism is inconsistent with natural language being learnable. Then I show that the objection fails if language acquisition includes stages of partial grasp of the meaning of at least some expressions, and I argue that standard model theoretic semantics cannot fully capture such stages. In the second section the above claims are supported through a review of current research into language acquisition. Finally, in the third section it is argued that contemporary algebraic logical systems consist in a superior formal vehicle through which to capture stages of partial grasp of meaning; this claim is supported by concrete examples.",LINGUISTICS AND PHILOSOPHY
10.1023/A:1020823106639,Henriëtte De Swart; Ivan A. Sag,Negation And Negative Concord In Romance,2002,"This paper addresses the two interpretations that a combination ofnegative indefinites can get in concord languages like French:a concord reading, which amounts to a single negation, and a doublenegation reading. We develop an analysis within a polyadic framework,where a sequence of negative indefinites can be interpreted as aniteration of quantifiers or via resumption. The first option leadsto a scopal relation, interpreted as double negation. The secondoption leads to the construction of a polyadic negative quantifiercorresponding to the concord reading. Given that sentential negationparticipates in negative concord, we develop an extension of thepolyadic approach which can deal with non-variable binding operators,treating the contribution of negation in a concord context assemantically empty. Our semantic analysis, incorporated into agrammatical analysis formulated in HPSG, crucially relies on theassumption that quantifiers can be combined in more than one wayupon retrieval from the quantifier store. We also considercross-linguistic variation regarding the participation ofsentential negation in negative concord.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00350260,Thomas E. Patton,Replies and discussion on Strawson' substitute for scope,1978,"Strawson has recently developed a style of semantic subject-predicate analysis which, applied to certain sentences, rivals a standard account that turns on the notion of scope. His account depends on three notions: (i) complex, derivative properties, (ii) predicate-negation, and (iii) substantiation—an alleged semantic function having particular-specification as a special case. As I further develop it, the suspicion energes that his account simply is the scope account in disguise. I show that it is rather an untenable rival, placing the blame on his notion (iii), vindicating his notion (i) and finding his notion (ii) theoretically needless.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00350257,David S. Schwarz,"Causality, referring, and proper names",1978,"I argue that (a) the causal theory of proper names and (b) Kripke's chain of references thesis are logically independent of each other, and that the case for (a) is very weak. I observe that rejecting (a) we lose one powerful reason for treating proper names as rigid designators. I then consider reasons for subscribing to (b), and I argue that (b) is compatible with either a rigid or a non-rigid (descriptive) semantic treatment of proper names.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00350259,Gerald Gazdar,"Heavy parentheses wipe-out rules, okay?",1978,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00350261,,Announcement,1978,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00350256,Esa Saarinen,"Intentional identity interpreted: A case study of the relations among quantifiers, pronouns, and propositional attitudes",1978,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00350258,Norman K. Sondheimer,A semantic analysis of reference to spatial properties,1978,A uniform analysis is offered for the source of the locations specified by all references in English to spatial properties including location and movement. This source is argued to be the location of events and states of affairs. These locations are specified by sets showing spaces momentarily occupied. Descriptions of motion are accounted for through a variety of ways of referencing these sets. Some classes of simple clauses are identified as requiring semantic analysis involving multiple events and states of affairs. This importantly allows spatial references to be associated with different events and states of affairs. Identification of object location is accounted for by use of extra inference rules or meaning postulates. A number of other explanations are suggested for more limited and derivative phenomena. The analysis is developed within a Case-like notation presented in the first-order predicate calculus. It is supported by an extensive analysis of spatial reference phenomena and by identification of ancillary benefits.,LINGUISTICS AND PHILOSOPHY
10.1007/s10988-012-9108-y,Márta Abrusán,Predicting the presuppositions of soft triggers,2011,"The central idea behind this paper is that presuppositions of soft triggers arise from the way our attention structures the informational content of a sentence. Some aspects of the information conveyed are such that we pay attention to them by default, even in the absence of contextual information. On the other hand, contextual cues or conversational goals can divert attention to types of information that we would not pay attention to by default. Either way, whatever we do not pay attention to, be it by default, or in context, is what ends up presupposed by soft triggers. This paper attempts to predict what information in the sentence is likely to end up being the main point (i.e. what we pay attention to) and what information is independent from this, and therefore likely presupposed. It is proposed that this can be calculated by making reference to event times. The notion of aboutness used to calculate independence is based on that of Demolombe and Fariñas del Cerro (In: Holdobler S (ed) Intellectics and computational logic: papers in honor of Wolfgang Bibel, 2000).",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-012-9107-z,Stefano Predelli,Sub-sentential speech and the traditional view,2011,"This essay argues that cases of apparently sub-sentential speech, such as Charles’ utterance of ‘a world famous topologist’ in the presence of a suitably salient woman, are unproblematic from the viewpoint of the Traditional View of meaning and truth-conditions. My argument is grounded on the distinction between different senses of ‘truth-conditions’ in double-index semantics, and on an understanding of semantic inputs as constraints on logical forms. Given these conceptual resources, I argue that an utterly traditional understanding of the relationships between meaning and truth yields the intuitively desired results.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-012-9106-0,Emmanuel Chemla; Vincent Homer; Daniel Rothschild,Modularity and intuitions in formal semantics: the case of polarity items,2011,"Linguists often sharply distinguish the different modules that support linguistics competence, e.g., syntax, semantics, pragmatics. However, recent work has identified phenomena in syntax (polarity sensitivity) and pragmatics (implicatures), which seem to rely on semantic properties (monotonicity). We propose to investigate these phenomena and their connections as a window into the modularity of our linguistic knowledge. We conducted a series of experiments to gather the relevant syntactic, semantic and pragmatic judgments within a single paradigm. The comparison between these quantitative data leads us to four main results. (i) Our results support a departure from one element of the classical Gricean approach, thus helping to clarify and settle an empirical debate. This first outcome also confirms the soundness of the methodology, as the results align with standard contemporary accounts of scalar implicature (SI). (ii) We confirm that the formal semantic notion of monotonicity underlies negative polarity item (NPI) syntactic acceptability, but (iii) our results indicate that the notion needed is perceived monotonicity. We see results (ii) and (iii) as the main contribution of this study: (ii) provides an empirical interpretation and confirmation of one of the insights of the model-theoretic approach to semantics, while (iii) calls for an incremental, cognitive implementation of the current generalizations. (iv) Finally, our results do not indicate that the relationship between NPI acceptability and monotonicity is mediated by pragmatic features related to SIs: this tells against elegant attempts to unify polarity sensitivity and SIs (pioneered by Krifka and Chierchia). These results illustrate a new methodology for integrating theoretically rigorous work in formal semantics with an experimentally-grounded cognitively-oriented view of linguistic competence.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-012-9112-2,Pauline Jacobson,Editors’ Note,2011,,LINGUISTICS AND PHILOSOPHY
10.1007/s10988-019-09280-9,Jon Ander Mendia,Reference to ad hoc kinds,2020,"Although there is no consensus about what kinds are, there is a common understanding that kinds can be regarded as collections of objects that share certain properties. What these properties exactly are is often left unspecified. This paper explores the semantics of ad hoc kind-referring terms, where the determination of the relevant set of shared properties does not rely on “natural” properties or world knowledge. Rather, information provided by a nominal modifier, typically a relative clause, is used to impute the required regular behavior on the kind-referring NP. Building on Carlson’s (Reference to kinds in English, Ph.D. thesis, University of Massachusetts at Amherst, 1977b) disjointness condition, I show that we can not only account for the ubiquity of these expressions, but we can also extend the analysis to other constructions that have traditionally not been taken to be kind referring, such as Amount and Degree Relative constructions.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-019-09281-8,Michela Ippolito,Varieties of Sobel sequences,2020,"In this paper I provide a unified analysis of a number of pragmatic anomalies that have been discussed in the literature. The paper’s main goal is to account for Sobel sequences of conditionals and sequences of disjunctive sentences, but I will also propose that this analysis can be extended to sequences of sentences with superlatives. The starting point is the observation that, while all these sequences are felicitous in one order, they are infelicitous when the order is reversed. Previous proposals have focussed on particular types of infelicitous sequences (e.g. von Fintel, in: Kenstowicz (ed) Ken Hale: A life in language, MIT Press, Cambridge, 2001; Moss in Noûs 46:516–586, 2012; Lewis in Noûs 52:481–507, 2018; a.o.), or a subset of all the phenomena cited above (e.g. Singh in On competition between only and exh, 2008b; Linguist Philos 31:245–260, 2008c; Dohrn, in: Pistoia-Reda, Domaneschi (eds) Linguistic and psycholinguistic approaches on implicatures and presuppositions. Palgrave McMillan, Basingstoke, 2017; a.o.). I propose that sequences of sentences belonging to the same structured set of alternatives T are subject to a Specificity Constraint (SC): sequences are acceptable if both alternatives are dominated by the same number of nodes in the structured set of alternatives T. Violations of SC can be avoided by strengthening the weaker alternative. However, covert strengthening violates an economy condition if the overtly stronger alternative is among those made salient by the preceding utterance in the sequence (if any). I propose that the set of alternatives made salient by an utterance of a sentence s consists of s’s sisters and mother in T. I will show that the strengthening mechanism varies depending on the kind of sequence we have.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-019-09284-5,Alan Bale; Bernhard Schwarz,Proportional readings of many and few: the case for an underspecified measure function,2020,"In the so-called reverse proportional reading (Herburger in Nat Lang Semant 5(1):53, 1997), the truth conditions of statements of the form many/few $$\phi $$ $$\psi $$ appear to make reference to the ratio of the individuals that are in the extensions of both $$\phi $$ and $$\psi $$ to the individuals that are in the extension of $$\psi $$ . The analysis of such readings is controversial. One prominent approach assumes they are a symptom of many and few making reference to a context dependent standard of comparison. We observe that this initially attractive approach systematically undergenerates, failing to capture pervasive reverse proportionality in environments that remove context dependency of the standard. Instead, we propose that reverse proportionality in such cases can arise from the underspecification of the measure function underlying the meanings of many and few.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-018-9247-x,Robert Pasternak,A lot of hatred and a ton of desire: intensity in the mereology of mental states,2019,"Certain measurement-related constructions impose a requirement that the measure function used track the part-whole structure of the domain of measurement, so that a given entity or eventuality must have a larger measurement in the chosen dimension than any of its salient proper parts. I provide evidence from English and Chinese that these constructions can be used to measure the intensity of mental states like hatred and love, indicating that in the natural language ontology of such states, intensity correlates with part-whole structure. A natural language metaphysics of psychological intensity meeting this requirement is then developed and integrated into the semantics. Further complications arise when looking at attitudes like want, wish, and regret, which also permit measurements of intensity in the relevant constructions. To account for such attitudes, the ontology and semantics are then enriched in a way that integrates ordering and quantification over possible worlds into the part-whole structure of attitude states, so that even in these more complicated cases, the constructions at hand have a unified compositional semantics.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-019-09264-9,John Mackay,Addendum to “Subjunctive conditionals’ local contexts”,2019,,LINGUISTICS AND PHILOSOPHY
10.1007/s10988-018-9246-y,Matthew Mandelkern,What ‘must’ adds,2019,"There is a difference between the conditions in which one can felicitously use a ‘must’-claim like (1-a) and those in which one can use the corresponding claim without the ‘must’, as in (1-b): $$\begin{aligned}&amp;\hbox {(1)} \,\,\quad \hbox {a. It must be raining out}.\\&amp;\qquad \,\,\, \hbox {b. It is raining out}. \end{aligned}$$ It is difficult to pin down just what this difference amounts to. And it is difficult to account for this difference, since assertions of &nbsp; $$\ulcorner $$ Must p $$\urcorner $$ &nbsp; and assertions of p alone seem to have the same basic goal: namely, communicating that p is true. In this paper I give a new account of the conversational role of ‘must’. I begin by arguing that a ‘must’-claim is felicitous only if there is a shared argument for the proposition it embeds. I then argue that this generalization, which I call Support, can explain the more familiar generalization that ‘must’-claims are felicitous only if the speaker’s evidence for them is in some sense indirect. Finally, I propose a pragmatic derivation of Support as a manner implicature.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-018-9240-4,John Mackay,Subjunctive conditionals’ local contexts,2019,"Philippe Schlenker gives a method of deriving local contexts from an expression’s classical semantics. In this paper I show that this method, when applied to the traditional variably strict semantics for subjunctive conditionals of Robert Stalnaker, David Lewis, and Angelika Kratzer, delivers an empirically incorrect prediction. The prediction is that the antecedent of a conditional should have the whole domain of possible worlds as its local context and therefore should be allowed to have only necessary presuppositions. In the later part of the paper, I suggest the outlines of a solution to the problem. The solution involves adding a shifting contextual restriction on the domain of possible worlds.",LINGUISTICS AND PHILOSOPHY
10.1023/A:1005694100138,Stephen Crain; Paul Pietroski,"Nature, Nurture And Universal Grammar",2001,"In just a few years, children achieve a stable state of linguistic competence, making them effectively adults with respect to: understanding novel sentences, discerning relations of paraphrase and entailment, acceptability judgments, etc. One familiar account of the language acquisition process treats it as an induction problem of the sort that arises in any domain where the knowledge achieved is logically underdetermined by experience. This view highlights the ‘cues’ that are available in the input to children, as well as childrens skills in extracting relevant information and forming generalizations on the basis of the data they receive. Nativists, on the other hand, contend that language-learners project beyond their experience in ways that the input does not even suggest. Instead of viewing language acqusition as a special case of theory induction, nativists posit a Universal Grammar, with innately specified linguistic principles of grammar formation. The ‘nature versus nurture’ debate continues, as various “poverty of stimulus” arguments are challenged or supported by developments in linguistic theory and by findings from psycholinguistic investigations of child language. In light of some recent challenges to nativism, we rehearse old poverty-of stimulus arguments, and supplement them by drawing on more recent work in linguistic theory and studies of child language.",LINGUISTICS AND PHILOSOPHY
10.1023/A:1005632801858,Ian Pratt; Nissim Francez,Temporal Prepositions and Temporal Generalized Quantifiers,2001,"In this paper, we show how the problem of accounting for the semanticsof temporal preposition phrases (tPPs) leads us to some surprisinginsights into the semantics of temporal expressions ingeneral. Specifically, we argue that a systematic treatment of EnglishtPPs is greatly facilitated if we endow our meaning assignments with context variables, a device which allows a tPP to restrict domainsof quantification arising elsewhere in a sentence. We observe that theuse of context variables implies that tPPs can modify expressions intwo ways, and we use this observation to predict the behaviour of tPPswhose complements are themselves modified by other tPPs.",LINGUISTICS AND PHILOSOPHY
10.1023/A:1005690022190,Sandro Zucchi; Michael White,"Twigs, Sequences and the Temporal Constitution of Predicates",2001,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00631963,Jack Hoeksema,Complex predicates and liberation in Dutch and English,1991,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00631961,Kazuhiko Fukushima,"Phrase structure grammar, montague semantics, and floating quantifiers in Japanese",1991,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00631962,Friederike Moltmann,Measure adverbials,1991,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00631964,Thomas J. McKay,Representingde re beliefs,1991,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00631965,,Acknowledgement,1991,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00578452,Joyce Friedman; David S. Warren,Erratum,1979,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00578450,Lyle Jenkins,The genetics of language,1979,"Within the context of the study of the genetics of language, Chomskian laws of grammar, such as theStructure-dependence Condition and theA over A Condition, may be usefully regarded to have a status similar to that of Mendelian Laws in classical genetics. In both the case of Chomsky's Laws and Mendel's Laws, formal genetic principles are postulated which abstract away from the physical mechanisms involved and in both cases certain apparent counterexamples mirror a more complex underlying genetic organisation.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00578445,Philip Hugly; Charles Sayward,A problem about conversational implicature,1979,Conversational implicatures are easy to grasp for the most part. But it is another matter to give a rational reconstruction of how they are grasped. We argue that Grice's attempt to do this fails. We distinguish two sorts of cases: (1) those in which we grasp the implicature by asking ourselves what would the speaker have to believe given that what he saidis such as is required by the talk exchange; (2) those in which we grasp the implicature by asking ourselves why it is that what the speaker said is so obviouslynot such as is required by the talk exchange. We argue that Grice's account does not fit those cases falling under (2).,LINGUISTICS AND PHILOSOPHY
10.1007/BF00578451,William C. Watt,Against evolution (an addendum to Sampson and Jenkins),1979,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00578448,Greg N. Carlson,Generics and atemporalwhen,1979,"Beginning with analyses of English generic sentences and English plural indefinite noun phrases (e.g.dogs), we proceed to apply mechanisms there motivated to a characterization of atemporalwhen, a sense ofwhen which does not appear to involve time. Dealt with are such examples as “Dogs are intelligent when they have blue eyes”, and their relationships to examples like “Dogs that have blue eyes are intelligent”. The proposed treatment of atemporalwhen helps motivate the existence of a generic verb phrase operator in English, as well as the treatment of indefinite plural noun phrases as disguised definite descriptions.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00578447,Martin D. S. Braine,On some claims aboutif-then,1979,"The paper has sought to show two things. One is that the apparent variety of Stalnaker and Lewis's counterexamples is misleading. Several of their examples are quite unsatisfactory because they depend on unguarded language behavior. There is in fact only one type of counterexample that is worth serious discussion, and that has the form of Barense's. For Barense's example, I try to show that it fails as a counterexample to transitivity because one of the premisses is false within the context of the example. However, Barense's example is problematic for the Stalnaker-Lewis analysis, since their device for avoiding transitivity (rejecting the rule of conditional proof) does not in fact eliminate anomalous conclusions that can be drawn when both the premisses are taken as true. In sum, there appears to be no good reason to doubt thatif is transitive, that the antecedent of a conditional can be strengthened, and that the contrapositive can be inferred. And the rule of conditional proof does seem to capture a commonly accepted form of argument in support ofif-then statements.",LINGUISTICS AND PHILOSOPHY
10.1007/BF00578453,,Announcements,1979,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00578446,Thomas McKay; Cindy Stern,Natural kind terms and standards of membership,1979,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00578449,Geoffrey Sampson,A non-nativist account of language universals,1979,,LINGUISTICS AND PHILOSOPHY
10.1007/BF00578444,S. -Y. Kuroda,Some thoughts on the foundations of the theory of language use,1979,"I identify three functions of language: the communicative, the objectifying, and the objective. I claim that of these three functions, the objective function is the most essential, in the sense specified in the paper, and the communicative the least. I further indicate that language use without the communicative function is more prevalent than might commonly be believed.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-011-9102-9,Maria Aloni; Floris Roelofsen,Interpreting concealed questions,2011,"Concealed questions are determiner phrases that are naturally paraphrased as embedded questions (e.g., John knows the capital of Italy ≈ John knows what the capital of Italy is). This paper offers a novel account of the interpretation of concealed questions, which assumes that an entity-denoting expression α may be type-shifted into an expression ?z.P(α), where P is a contextually determined property, and z ranges over a contextually determined domain of individual concepts. Different resolutions of P and the domain of z yield a wide range of concealed question interpretations, some of which were not noted previously. On the other hand, principled constraints on the resolution process prevent overgeneration.",LINGUISTICS AND PHILOSOPHY
10.1007/s10988-011-9104-7,Robert J. Stainton,In defense of public languages,2011,"My modest aim in this note is to sketch three interrelated critiques of public languages, and to respond to them. All are broadly Chomskyan, and all support the same conclusion: that, insofar as they even exist, the study of public languages is not a viable scientific project. (Related critiques of semantics, understood as involving word–world relations, will be touched on as well).",LINGUISTICS AND PHILOSOPHY
