doi,author,title,year,abstract,journal
10.32473/sal.v38i1.107293,Alex de Voogt,A sketch of Afitti phonology,2009,"Political conflict in the Sudan and the spread of Arabic are threatening Afitti, a North Eastern Sudanic language that has received relatively little scholarly attention. In addition to presenting original data on the language, this paper shows that Afitti is markedly different from Nyimang, its nearest linguistic neighbor, in respect to the absence of a third tone, the lack of a contrast between dentals and alveolars, the absence of distinctive vowel length, and its limited labialization.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v38i1.107294,Franca Ferrari-Bridgers,Luganda verb morphology,2009,"In this paper, I propose a novel morphological analysis of the Luganda (ISO 639-3: lug) verbal suffixes [-YE] and [-A]. I argue that the suffix [-YE] is bi-morphemic: [-Y] is a Perfective aspect morpheme, while [-E] is a functional suffix found in linguistic contexts indicating a change of state in the immediate past or in the immediate future. The data analysis further suggests that suffix [-A] is a default marker used as phonological filler. Finally, I show that the different linguistic contexts of use of the markers [-Y] [-A] and [-E] explain their distribution across the Indicative, Subjunctive and Imperative moods.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v16i3.107500,Derek Nurse,Dentality areal features and phonological change in northeastern Bantu,1985,"A minority of the world's languages appear to have a series of dental (as opposed to alveolar) obstruents. Proto-Bantu does not have such a series, nor do most East African Bantu languages. By contrast, three Bantu languages in northeastern Kenya (the northern Swahili dialects, Pokomo, Elwana) have acquired such a series, which thus merits explanation. There are three mechanisms involved: sounds along with loan vocabulary, (b) a simple phonological shift whereby inherited alveolars moved one place to become dental, and (c) a more complicated shift whereby inherited (pre) palatals bypassed an intervening alveolar series to become dental, a process little reported in the literature. It is hypothesised that these forms of denta1isation took place under historical conditions of contact with neighboring Cushitic communities--not the larger Eastern Cushitic communities of today (Somali, Orma), but rather the ancestral forms of what are now remnant languages, (probably) Southern Cushitic Dahalo and (possible) Eastern Cushitic Aweera. (a) the borrowing of loan 1.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v16i3.107498,Robert A. Leonard,Swahili demonstratives evaluating the validity of competing semantic hypotheses,1985,"Swahili demonstratives h- and -Ie have traditionally been analysed to mean ""proximity"" and ""non-proximity"" respectively. However, this analysis fails in that it can only account for a small part of the distribution of these forms in actual texts. This paper suggests that meanings dealing with the speaker's relative concentration of attention on a referent are better able to account for the actual distribution of these forms. To validate this claim we will (1) show the relation of proximity to noteworthiness and thus explain the same range of data as the proximity hypothesis; (2) uncover other factors, e.g. new items, thematically important items, that override proximity and show their relation to noteworthiness to explain data not accounted for by the proximity hypothesis.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v16i3.107499,Isaac S. Madugu,Complex verbs in Nupe and Yoruba,1985,"This paper examines the structural behaviour of various types of complex verbs in Nupe and Yoruba in relation to causative constructions. When such verbs occur in simplex non-agentive causative sentences as well as in agentive non-causative sentences, they freely permit sentence embedding, resulting in biclausal causative structures. But in the case of non-agentive causatives, it is only Yoruba which allows the verbs to be irregularly embedded into causative matrix sentences in such a way that the biclausal causative structure constitutes input to Causative Clause Union, which compresses it into a uniclausal agentive causative sentence. Functionally, Yoruba uniclausal and biclausal agentive causatives are intercharigeable in many cases. On the other hand, only uniclausal agentive causatives are attested in Nupe, as Causative Clause Union has disappeared from its grammar. It is concluded that causative constructions in these languages demonstrate clearly that the CCU rule is motivated by a diachronic process of moving from a pragmatic mode of expression to a syntacticized one, and where a particular target has been hit, the rule ceases to function.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v16i3.107501,Dudley K. Nylander,Factitivity presupposition and the relativised predicate in Krio,1985,"After a brief review of the literature on factivity and presupposition, the paper examines a case of asymmetry in the interpretation of a construction known as the relativised predicate (RP). Whenever the main verb of the sentence with RP is mek (= 'make'), the sentence may be interpreted in two ways, including one with ""the fact that"". However, if the matrix verb is other than mek, there is only one interpretation possible-without ""the fact that"". It is concluded that the dual interpretation is possible because the relative particle (which is also a complementizer linked to factive verbs) associates with the factive mek.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v30i2.107356,Koen Bostoen,Osculance in Bantu reconstructions,2001,"In historical linguistics, variation functions as an indicator of historical evolution. The set of Proto-Bantu reconstructions contains multiple slightly divergent forms and/or meanings which supposedly have a common origin based on their strong resemblance, but which cannot be directly connected by means of established Bantu phonological shifts or known semantic shifts. The term ""osculance"" has been used to refer to this phenomenon. As a likely sign of non-ascertained dialectal variability and unknown historical relations at or even beyond the Proto-Bantu level, these ""osculant"" clusters deserve more detailed study. Prerequisite to detailed study of these clusters, however, is determination of the genuineness of the osculance. In this paper, some exploratory tracks are set out via a case study of the sample pair o-kadang-/O-kang- (to fry, to roast).",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v30i2.107358,Larry M. Hyman,Vowel harmony in Gunu,2001,"The vowel harmony systems of the Bantu A.60 languages of Cameroon provide an extraordinary wealth of uncommon properties not yet exploited by linguistic theory. In this paper, the author focuses on one variant of the Yambasa cluster, Gunu A.62a, as described by Ambadian [1990, 1991], Orwig [1989], Quilis et al [1990], and Robinson [1979, 1983]. An analysis of long-distance ATR and rounding harmonies in Gunu is presented in terms of the privative features ATR, Front, Round, and Open. Both the featural representations and their ""direct mapping"" onto outputs account for the derivational opacity as well as transparency of front vowels to Round harmony.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v30i2.107357,Christopher Culy; Sarah M.B. Fagan,The history of the middle in Dogon,2001,"Donno So, a Dogon language of Mali, has a class of verbs (C3) that exhibits an interesting set of formal and semantic properties. The verbs in this class have different derivational histories; they also have various typs of meaning (middle; middle-related; non-middle). Although C3 verbs cannot be unified derivationally or semantically, they can all be defined both paradigmatically and in terms of phonotactic constraints, like the other two verb classes in Donno So. Comparison with other Dogon languages shows how the middle evolved in Dogon and how Donno So C3 verbs in turn evolved from the middle. These results expand Kemmer's [1993] discussion of the processes invoved in the evolution of middle systems. The comparison also provides some hypotheses about the history of Dogon.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v30i2.107359,Penou-Achille Somé,Tout ton flottant bas autorise-t-il la propogation du ton haut précedent en Dagara-Wule.pdf,2001,"This study addresses the syntactic implications of low floating tones in Wule, one of the three varieties of Dagara, a language of the Voltai'c Group spoken in the northern part of Ghana and the southern part of Burkina Faso, The data show that if ""peripheral"" low floating tones allow a high preceding tone to spread, it is the other way around for ""internal"" low floating tones, In fact, the latter type of tones, like opaque consonants, always prevents a high preceding tone from spreading, This result leads to a question concerning the relationship between internal low floating tones and opaque consonants, After debating two different assumptions, it has been retained that, despite the similar syntactic implications, internal low floating tones and opaque consonants are two different linguistic entities which do not have, as such, any historical link.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v31i1.107351,Timothy Jowan Curnow,Three types of verbal logophoricity in African languages,2002,"The term logophoric is most strongly tied to pronominal systems. However, most recent literature on logophoricity accepts the existence of verbal marking of logophoricity. Through examining the verbal logophoricity which has been reported in African languages, it can be seen that there are three different types of verbal marking: logophoric cross-referencing, first person logophoricity, and verbal logophoric affixation. These different types may appear as the only form of logophoric marking in a language, or they may combine with each other and with logophoric pronouns. Each of these types appears to have distinct properties and, hence, needs to be treated separately in typological literature.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v31i1.107354,Mauro Tosco,A whole lotta focusin' goin' on information packaging in Somali texts,2002,"The article deals with the pragmatics of focus marking in Somali written texts. The use of the nominal focus markers baa and ayaa, of clefts, of noun incor-poration and of the particle waa is analyzed. Concerning the latter, it is argued that the verbal-focus effect often associated with it is more the result of the absence of nominal focus than an inherent property of this particle, thereby confirming Saeed's analysis of waa as a ""declarative classifier"". A few text-building uses of the focus particles are discussed, namely, the use of subject focus in text-initial thetic sentences, the topic-shifting value of nominal focus, and the use of focus on a clausal or nominal adverbial as an action-enhancing device. In light of these considerations, it is argued that the nominal focus particles are perhaps better considered as generic ""foregrouding particles"".",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v31i1.107349,George Akanlig-Pare; Michael Kenstowicz,Tone in Buli,2002,"The paper analyzes the principal tonal contrasts and alternations in Buli from both synchronic and diachronic, comparative perspectives. The role of tone in the inflectional morphology as well as the phonetic implementation of tonal contrasts is also discussed.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v31i1.107352,Russell G. Schuh,Palatalization in West Chadic,2002,"Morphological palatalization is a phenomenon whereby palatal articulation (fronting of vowels, adding palatalization as a secondary articulation to consonants, changing alveolars to alveopalatals) is a property associated with an entire morpheme, not with individual segments. Within the Chadic language family, morphological palatalization is best documented in the Biu-Mandara branch, but it has been inherited as a feature in the West branch as well. This paper explores palatalization phenomena in the West Branch that conceivably trace their origin to morphological palatalization. In Miya, morphological palatalization operates much as it does in Biu-Mandara languages, affecting entire morphemes and associating with specific morphological processes. Duwai exhibits remnants of morphological palatalization in certain verb alternations. Bole shows alveolar/alveopalatal variations in specific lexical items that have no local phonological explanation. In Hausa, the origin of palatal consonants has long been a source of controversy. The paper argues that local phonological processes of palatalization cannot account for a large number of the palatals in modern Hausa, a claim that has implications for the analysis of the system of high vowels.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v31i1.107353,Oliver Stegen,Derivational processes in Rangi,2002,"The main object of research described in this paper is Rangi, a scarcely investigated Bantu language of Northern Central Tanzania. Rangi phonology and morphonology are briefly sketched, including a classification with regard to both Vowel Height Harmony and Advanced Tongue Root activity. The main body of the paper consists of a detailed description of Rangi derivational processes, which follows the pattern established in Maganga and Schadeberg's description of Nyamwezi, a closely related language. Both verbal derivation, which exclusively uses the extensional slot of the verb structure, and nominal derivation, which employs noun class prefixes and a few suffixes, are covered.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v31i1.107355,Janet Wilson,From preposition to plural marker and more grammaticalization of Kuche bānà,2002,"While most Benue-Congo languages of West Africa retain only vestiges of a noun class system, Kuche, a language of Central Nigeria, has an extensive system similar in many ways to Bantu systems. One unusual feature of the system is the form ban( a), used to pluralize, for example, kin terms such as 'mother' and 'father' . Although it has been analyzed elsewhere as a noun class prefix, detailed analysis demonstrates that it is not a class prefix but rather a grammaticalized compound consisting of the class 2 pronoun ba plus the preposition na 'with'. Not only has this grammatic ali zed form come to be used as a pluralizer, it also functions as a type of comitative marker. The author shows that na has also combined with agreement prefixes a- and ba- (classes 1 and 2), and has grammaticalized with multiple functions: associative marker, directional marker, focus and topic marker.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v31i1.107350,Bruce Connell,Aspects of the phonetics of Cambap,2002,"Increasingly, the need to document endangered languages before they cease to be spoken and disappear is being recognized. Corresponding acknowledgement of the importance of detailed descriptions of the phonetics of such languages, however, is lagging behind. This study examines the phonetics of Cambap, a Bantoid language spoken in the Nigeria-Cameroon borderland by approximately 30 people. The focus is on describing how its phonological contrasts are realized, and as such this study represents only a stage in a more complete description of Cambap phonetics, their relation to the phonology of Cambap and to more general aspects of the language and culture of the Camba.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v21i2.107437,David Odden,Tone in the Makonde dialects Chimahuta,1990,"This paper expands the descriptive study of tone in the Makonde dialects, started in Odden [1990], by studying the Chimahuta dialect. Like the Chimaraba dialect and a number of closely related Bantu languages of Southern Tanzania, Chimahuta verbs lack lexical tone properties, and all tones appearing on the surface in verbs arise as a consequence of rules of tone insertion, docking, spreading, and deletion.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v21i2.107434,Robert Botne,"The origins of the remote future formatives in Kinyarwanda, Kirundi and Giha",1990,"Among the interlacustrine languages of eastern Africa Kinyarwanda, Kirundi and Giha have been classified in Bastin [1978] as dialects of the same language, identified in the zone classification system as J61. While it is certainly debatable whether or not they should be considered to constitute a single language, this classificaiton clearly reflects the high degree of similarity and mutual intelligibility found among these three languages. Given the very close correspondences that we do find, in particular among the basic tense formatives and their meanings, it is of special interest that the remote future formatives in these languages differ as much as they do in phonological form: -za:- in Kinyarwanda, zo:- in Kirundi, and -ro- in Giha. Just as perplexing is the apparent lack in these languages of a future formative of the general form -li-, a form characteristic of nearly every other language in zone J. My objective in this paper is to describe and trace the probable development of these various forms of the remote future marker and, in so doing, demonstrate that they do originate in the same source as the more common form -/i-.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v21i2.107433,Edmond Biloa,Resumptive pronouns in Tuki,1990,"This paper argues that in Tuki, gaps construed with WH- or topicalized phrases are null resumptive pronouns rather than WH-traces. Gaps alternate with overt resumptive pronouns. Structures with a gap parallel analogous structures with overt resumptive pronouns with regard to subjacency violations and violations of the Condition on Extraction Domains of Huang [1982], coordination tests, and weak crossover phenomena: gaps and overt pronominals fail to produce weak crossover violations, unlike structures with quantified NP's. Moreover, both the gaps and the overt resumptive pronouns license parasitic gaps, further strengthening the analogy.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v21i2.107435,Omen N. Maduka-Durunze,Igbo adjectives as morphophonologized relatives,1990,"Igbo adjectives are semantically, syntactically and morphophonologically derived. Underlyingly, they are relatives that are phonologized into a suppietive form. For this reason they cannot occur in predicative position, unlike adjectives in English. They are in two sets: the relative, polar set, which can be emphasized and further suppleted, and the non-relative, antipodal or taxonomic set, which cannot be emphasized, except perhaps by way of ideophonic periphrasis. Non-emphatic adjectives are also often ambiguous because of their inevitable incorporation of two copulas, one stative and neutral, the other active and cognate. One implication of all this is that 'Adj' is not a primitive syntactic category in Igbo and as such is not needed for its formal description. Another is that on the basis of formal behavioural criteria, a proper census of true adjectives in Igbo can now be taken.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v21i2.107436,Paul Newman,Internal evidence for final vowel lowering in Hausa,1990,"Internal factors involving phonotactic asymmetries and irregular morphological alternations suggest that final */uu/ in Hausa historically lowered to /oo/ when the preceding syllable contained /aa/, e.g. *kwaacfoo 'frog' &lt; *kwaacfuu. (Note: L tone is indicated by a grave accent, H tone is left unmarked. Long vowels are indicated by double letters.) The aim of this paper is to present evidence supporting this proposal and to suggest implications of the historical vowel change for one of Hausa's many plural formations, the ablaut plural. (For background studies on the history of vowels in Hausa and Chadic, see Barreteau [1987], Frajzyngier [1986], Newman [l979b], Parsons [1970], Schuh [1984], and Wolff [1983].)",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v15i2.107515,Julie F. Nemer; Keith Wm. Mountford,The interation of segmental and tonal levels the case of w in Temne,1984,"Temne is a West Atlantic Mel language, spoken in northern Sierra Leone, which has both phonemic and morphological tone. This paper explores the interaction between tonal and segmental levels through the investigation of segmental rules of insertion and deletion and through verbal inflections and derivations. The paper shows that tonal patterns on Temne verbs are not additive, unlike the segmental portions of the verbs, and that the tones on verbs must be viewed as almost totally independent of the component morphemes of the verb. In the process, the paper argues for the analysis of an underlying vowel and for the analysis of pronouns as noncliticized morphemes, which means that Temne has redundant subject markers in certain types of sentences. Both of these are issues which various authors have taken opposing stances on in the literature.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v15i2.107516,Dudley K. Nylander,The relation between the middle tone and empty category principle violations in Krio,1984,"An examination of monosyllabic words in Krio reveals the existence of three distinct tones: high. mid and low. words of more than one syllable. However, only two tones are attested: high and low. The mid tone is, in fact, found only in monosyllabic forms in two very specific contexts: citation forms and sentence final forms. In other contexts. the mid tone ia replaced by the high tone. This suggests that the mid tone is merely a phonetic variant of the high tone. The interaction of tones and syntax is considered.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v15i2.107514,Norris P. McKinney,The fortis feature in Jju Kaje and initial study,1984,The fortis feature in JJu (more widely known as Kaje) divides the consonants of the language (except the simultaneous labiovelar plosives kp and gb) into a set of fortis ones and a set of their lenis counterparts. Minimal pairs and other words contrasting in the presence or absence of the fortis feature were studied with the aid of spectrograms. oscillograms. and a tape repeater-segmenter aystem for isolating time portions and measuring their durations. A variety of acoustic cues to the fortis feature was observed. The time span of a consonant is partitioned here into complete occlusion. partial occlusion and final transition. The principal experimental result reported here is that the partial occlusion portion of the fortis plosives and affricates was found to be consistently longer than that of the lenis ones.,STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v41i2.107276,Abie Hantgan; Stuart Davis,Bondu-so vowel harmony: A descriptive analysis with theoretical implications,2012,"This paper provides a descriptive analysis of the [ATR] vowel harmony system of Bondu-so (Dogon, Mali), a previously undocumented language. Data come from fieldwork and have not yet been published. While Bondu-so has seven surface vowels, namely, two [+ATR, +high] vowels ([i], [u]), a [–ATR +low] vowel [a] and a [±ATR] contrast in the mid vowels with front [e]/[ɛ] and back [o]/[ɔ], there is evidence for a more abstract vowel system phonologically consisting of ten vowels with [±ATR] contrasts with all vowel heights. Further, the language shows a three-way contrast with respect to the feature [ATR] on suffixal vowels: some suffixal vowels act as [+ATR] dominant, spreading their [+ATR] feature onto the root; other suffixes act as [–ATR] dominant, spreading [–ATR] onto the root, and still other suffixes have vowels unspecified for [ATR] receiving their [±ATR] feature by rightward spreading of the [±ATR] value of the root vowel. We offer an autosegmental analysis and then discuss the theoretical implications of such an analysis. These implications include the ternary use of [ATR], the issue of phonological versus morphological harmony, the relationship between vowel inventories and [ATR] harmony systems, and the question of abstractness in phonology.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v41i2.107277,Tong Wu,Prenominal relative clauses in Ethiopian languages: From inside and from outside,2012,"The main objective of this data-oriented study is to give a synchronic typological overview of Ethiopian prenominal relative clauses, both from the inside and from the outside. By “inside”, I mean to compare prenominal relative clauses in the Ethiopian area in order to show how they are different from and/or similar to each other. By “outside”, I extend the comparison to beyond Ethiopian languages and include other African languages with or without prenominal relative clauses and languages from elsewhere with prenominal relative clauses. These comparisons will show to what extent Ethiopian prenominal relative clauses are typologically marked or ordinary. However, the inside comparison will be given more attention. Furthermore, synchronic comparison naturally leads us to questions concerning language evolution and language contact. These questions have always been in the center of studies of the Ethiopian Language Area and will be discussed here.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v41i2.107278,Mi’eesa Yaachis; Robbin Clamons; Lenief Heimstead,Locationals in Oromo,2012,"This is a study of the locational structures of Oromo. A range of syntactic constructions types is considered within a single synchronic grammaticalization schema. Speaker choices of particular structures within discourse are also identified and explored. The primary data are drawn from the Guji dialect, with reference to data from other dialects that are attested in the literature. Most of the morphological marking that is found across these locationals is consistent in all Oromo speech communities, and, although there is some variation in some particular lexemes across the dialects, the inventories of locational lexemes are interlocking and nearly entirely overlapping.",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v50i2.117236,Annie Rialland; Yranahan Traore; Caroline Féry,Nominal tonology and spreading rules in Tagbana (Fròʔò dialect),2021,"&nbsp;In this article,&nbsp;nominal tonology&nbsp;of Tagbana, a Senufo language of Côte d’Ivoire is investigated.&nbsp;The contribution of this article is twofold as it concerns the whole tonal system, including lexical tones, sandhi tone rules, and the organisation of the prosodic hierarchy. It is shown that Tagbana has three level tones (L, M, H) and two floating tones (H) and (L). A mid tone (M) at the end of a noun is always followed by a floating tone (either H or L), which might be a historic trace left by the tone of a Class Marker. Two clusters of sandhi tonal rules are shown to play a role, called ‘Mid Replacement rules’ (RepM) and ‘Spreading rules on H &amp; L’ (SprH&amp;L). The domains of the sandhi tonal rules are studied in some detail, from the Minimal Prosodic Word (root + class marker), the Intermediate and Maximal Prosodic Words (nominal and adjectival compounds), the Prosodic Phrases (particularly in object + verb constructions), to the Intonational Phrase. Considering the prosodic levels above the Minimal Prosodic Word, more tonal sandhi processes are found to apply in smaller prosodic domains than in larger ones.&nbsp;",STUDIES IN AFRICAN LINGUISTICS
10.32473/sal.v50i2.118531,Isabel Compes,The morphology of argument marking in Zaghawa-Wagi,2021,"This paper presents an analysis of the system of argument marking on the verb in Zaghawa. Zaghawa, also called Beria in the literature, is a Saharan language of the Nilo-Saharan language phylum spoken in the border region of Sudan and Chad. Like other Saharan languages, it has complex verbal morphology including person indexing. The primary aim of the study is descriptive in that it presents linguistic data of the underdescribed Wagi dialect which is mainly spoken in Sudan. First, the paradigm of bound verbal affixes and their morphology is described. Secondly, one of the functions of the final morpheme of the verb which has not yet been described in detail in previous studies on Zaghawa is analysed. This final morpheme interacts with the person indexes to mark plural participants, and it is exploited to mark a morphological category not yet recognized in the other dialects of Zaghawa: the exclusive/inclusive distinction in the 1st person plural. Therefore, the study provides new data on the Zaghawa verb system and contributes a further detail to our knowledge of the Nilo-Saharan language family.",STUDIES IN AFRICAN LINGUISTICS
